"country","fatf","fin_secrecy","us_incsr","ti_cpi","wb_business_disclosure","wef_auditing_and_reporting_std","wef_security_exchange_reg","wb_fin_sector_reg","open_budget","wb_transpar_account_corruption","wef_instit_strength","rule_of_law","idea_political_disclosure","freedom_house","ML_TF","CORRUPTION_RISK","FIN_TRANSPAR_STD","PUBLIC_TRANSPAR_ACCOUNT","POLITICAL_LEGAL_RISK","OVERALL_SCORE"
"KAZAKHSTAN",6.80851063829787,NA,5,7.4,1,4,5.33333333333333,NA,5.2,NA,4.15714285714286,7,0,7.83333333333333,6.3563829787234,7.4,4.14285714285714,2.6,6.33015873015873,5.93958544410672
"KENYA",8.63945578231293,NA,10,7.3,7,4.33333333333333,4.33333333333333,4,5.1,6,4.82857142857143,4.2,2.5,5.23333333333333,8.97959183673469,7.3,4.625,4.53333333333333,4.75396825396825,7.72484977324263
"KOREA, NORTH*",NA,NA,5,9.2,NA,NA,NA,NA,NA,NA,NA,9,NA,9.9,5,9.2,NA,NA,9.45,5.803125
"KOREA, SOUTH",5.78231292517007,8.64864864864865,5,4.5,3,4.5,5.33333333333333,NA,NA,NA,4.51428571428571,1.7,0,2.14444444444444,6.76439390725105,4.5,4.64285714285714,0,2.78624338624339,5.68259678045392
"KOSOVO*",NA,NA,5,6.7,4,NA,NA,5,NA,6,NA,4.5,NA,5.52222222222222,5,6.7,4.5,6,5.01111111111111,5.14555555555556
"KUWAIT",7.36111111111111,NA,5,5.7,3,3.5,5,NA,NA,NA,3.98571428571429,4.7,NA,6.41111111111111,6.77083333333333,5.7,4.07142857142857,NA,5.03227513227513,6.14038916736285
"KYRGYZSTAN",6.38297872340426,NA,NA,7.6,2,5.33333333333333,6.83333333333333,6,8,6,5.64285714285714,5.5,1.25,6.64444444444444,6.38297872340426,7.6,5.5625,5.08333333333333,5.92910052910053,6.29393286333446
"LAOS",8.86524822695035,NA,5,7.4,8,5.5,5.16666666666667,7,NA,7,4.28571428571429,7.7,NA,8.91111111111111,7.89893617021277,7.4,5.875,7,6.96560846560847,7.45383893391872
"LATVIA",3.26388888888889,6.82432432432432,10,4.7,5,3.33333333333333,4.66666666666667,NA,NA,NA,4.17142857142857,1.7,2.5,2.01111111111111,5.66961191961192,4.7,4.14285714285714,2.5,2.62751322751323,5.03305198055198
"LEBANON",5.30612244897959,9.59459459459459,10,7.2,1,4.66666666666667,5.66666666666667,NA,6.7,NA,5.74285714285714,4.2,7.5,5.65555555555556,7.67766982052696,7.2,4.57142857142857,7.1,5.1994708994709,7.01117321403036
"LESOTHO",7.98611111111111,NA,NA,5.1,7,6.16666666666667,7,6,NA,5,4.84285714285714,4,5,3.23333333333333,7.98611111111111,5.1,6.5625,5,4.02539682539683,7.13661706349206
"LIBERIA",8.57142857142857,8.44594594594595,NA,6.2,6,5,7.33333333333333,7,5.7,6,4.57142857142857,4.7,0,4.71111111111111,8.51439101439101,6.2,6.25,3.9,4.66084656084656,7.51989648739649
"LIBYA*",NA,NA,NA,8.5,NA,7.33333333333333,8.16666666666667,NA,NA,NA,5.4,7,2.5,5.95555555555556,NA,8.5,7.75,2.5,6.11851851851852,6.98121693121693
"LIECHTENSTEIN***",4.89795918367347,8.04054054054054,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.466666666666667,6.89157367728796,NA,NA,5,0.466666666666667,6.33714163142735
"LITHUANIA",3.68055555555556,NA,NA,4.3,3,3.5,4.66666666666667,NA,NA,NA,4.22857142857143,1.2,2.5,0.8,3.68055555555556,4.3,3.92857142857143,2.5,2.07619047619048,3.64045634920635
"LUXEMBOURG",5.57823129251701,9.93243243243243,10,2,4,1.5,1.66666666666667,NA,NA,NA,2.01428571428571,NA,5,0.4,7.93319614748186,2,1.92857142857143,5,1.20714285714286,5.95622035300607
"MACAO SAR, CHINA***",4.48979591836735,8.78378378378378,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98905341762485,NA,NA,NA,NA,6.98905341762485
"MACEDONIA",6.52482269503546,NA,NA,5.6,1,3.83333333333333,4.66666666666667,NA,6.5,NA,4.21428571428571,3.2,1.25,4.12222222222222,6.52482269503546,5.6,3.78571428571429,3.875,3.84550264550265,5.75501702690532
"MADAGASCAR**",NA,NA,NA,7.2,5,5.16666666666667,7.33333333333333,7,NA,7,5.58571428571429,6.2,7.5,5.98888888888889,NA,7.2,6.1875,7.25,5.92486772486772,6.59105253212396
"MALAWI",5.90277777777778,NA,NA,6.3,6,3.83333333333333,5.16666666666667,6,4.8,6,4.55714285714286,3.7,7.5,4.47777777777778,5.90277777777778,6.3,4.875,6.1,4.24497354497354,5.71530423280423
"MALAYSIA",3.87755102040816,9.32432432432432,5,5,0,2.66666666666667,2.83333333333333,NA,6.1,NA,3.07142857142857,4.5,7.5,5.46666666666667,6.14514828800543,5,2.35714285714286,6.8,4.34603174603175,5.40521940307655
"MALDIVES*",9.09722222222222,5.13513513513514,NA,NA,10,NA,NA,6,NA,6,NA,NA,2.5,5.16666666666667,7.29627354627355,NA,8,4.25,5.16666666666667,7.12601237601238
"MALI",8.88888888888889,NA,NA,7.2,4,6.5,7.5,6,5.7,5,5.68571428571429,6.5,7.5,5.12222222222222,8.88888888888889,7.2,6.5,6.06666666666667,5.76931216931217,8.06457671957672
"MALTA",2.24489795918367,6.14864864864865,NA,4.4,7,1.83333333333333,2.66666666666667,NA,NA,NA,3.41428571428571,NA,7.5,0.766666666666667,4.01933009075866,4.4,2.92857142857143,7.5,2.09047619047619,3.97137408280265
"MARSHALL ISLANDS",5.51020408163265,8.71621621621622,5,NA,8,NA,NA,7,NA,5,NA,NA,7.5,0.566666666666667,6.66479273622131,NA,7.5,6.25,0.566666666666667,6.44216512430798
"MAURITANIA",6.94444444444445,NA,NA,7,5,7.16666666666667,7.33333333333333,7,NA,7,5.78571428571429,5.5,3.75,6.6,6.94444444444445,7,6.9375,5.375,5.96190476190476,6.82135912698413
